iter	Passed	Remaining
258	1716	4910
259	1723	4904
260	1729	4896
261	1735	4887
262	1741	4881
263	1747	4870
264	1752	4859
265	1758	4852
266	1764	4843
267	1769	4833
268	1776	4826
269	1782	4818
270	1787	4808
271	1793	4799
272	1800	4794
273	1807	4787
274	1816	4790
275	1823	4784
276	1828	4773
277	1834	4763
278	1840	4755
279	1845	4744
280	1850	4733
281	1856	4727
282	1861	4716
283	1866	4705
284	1873	4700
285	1882	4699
286	1888	4691
287	1893	4680
288	1898	4669
289	1904	4663
290	1909	4652
291	1914	4641
292	1920	4635
293	1926	4626
294	1931	4615
295	1937	4608
296	1942	4598
297	1947	4588
298	1954	4583
299	1960	4574
300	1965	4565
301	1972	4558
302	1977	4548
303	1982	4538
304	1988	4530
305	1993	4520
306	1998	4510
307	2005	4506
308	2011	4498
309	2018	4492
310	2023	4483
311	2028	4474
312	2036	4468
313	2040	4458
314	2045	4448
315	2052	4442
316	2057	4433
317	2062	4423
318	2069	4418
319	2075	4409
320	2081	4402
321	2090	4402
322	2096	4394
323	2105	4392
324	2111	4384
325	2118	4380
326	2124	4373
327	2130	4365
328	2138	4361
329	2143	4351
330	2150	4347
331	2156	4339
332	2161	4330
333	2170	4327
334	2175	4318
335	2182	4312
336	2188	4305
337	2193	4296
338	2202	4293
339	2207	4285
340	2215	4281
341	2221	4275
342	2230	4271
343	2235	4263
344	2241	4256
345	2250	4253
346	2255	4245
347	2263	4241
348	2270	4234
349	2276	4226
350	2284	4223
351	2289	4214
352	2297	4211
353	2303	4203
354	2308	4194
355	2316	4191
356	2322	4182
357	2327	4174
358	2334	4168
359	2339	4159
360	2347	4155
361	2353	4148
362	2361	4144
363	2368	4137
364	2373	4129
365	2381	4125
366	2387	4117
367	2392	4109
368	2401	4107
369	2409	4102
370	2415	4094
371	2420	4086
372	2429	4084
373	2435	4076
374	2443	4072
375	2452	4070
376	2460	4066
377	2466	4059
378	2472	4051
379	2481	4048
380	2487	4041
381	2494	4036
382	2500	4028
383	2505	4019
384	2511	4012
385	2517	4004
386	2523	3996
387	2528	3988
388	2533	3979
389	2540	3973
390	2545	3964
391	2550	3955
392	2556	3948
393	2562	3941
394	2567	3933
395	2575	3927
396	2581	3920
397	2586	3911
398	2592	3904
399	2598	3897
400	2604	3890
401	2610	3883
402	2616	3876
403	2623	3869
404	2627	3860
405	2632	3851
406	2638	3844
407	2644	3837
408	2650	3829
409	2656	3823
410	2661	3814
411	2666	3805
412	2673	3799
413	2678	3790
414	2683	3782
415	2690	3776
416	2696	3769
417	2701	3761
418	2707	3754
419	2713	3747
420	2719	3740
421	2724	3732
422	2730	3724
423	2736	3717
424	2740	3708
425	2746	3700
426	2752	3693
427	2756	3684
428	2761	3675
429	2767	3668
430	2773	3661
431	2778	3653
432	2784	3646
433	2789	3637
434	2794	3629
435	2801	3623
436	2807	3616
437	2812	3609
438	2819	3602
439	2824	3594
440	2829	3586
441	2836	3580
442	2841	3573
443	2847	3565
444	2853	3558
445	2859	3551
446	2865	3545
447	2871	3538
448	2877	3530
449	2884	3525
450	2889	3517
451	2895	3509
452	2901	3503
453	2906	3495
454	2912	3488
455	2918	3482
456	2924	3474
457	2929	3466
458	2935	3459
459	2940	3452
460	2945	3444
461	2951	3437
462	2956	3429
463	2962	3422
464	2967	3414
465	2973	3407
466	2978	3399
467	2984	3392
468	2989	3384
469	2994	3376
470	3000	3370
471	3006	3363
472	3014	3358
473	3019	3350
474	3024	3342
475	3030	3336
476	3035	3328
477	3040	3320
478	3047	3314
479	3052	3306
480	3057	3298
481	3063	3292
482	3068	3284
483	3073	3276
484	3080	3270
485	3085	3262
486	3090	3255
487	3096	3249
488	3102	3241
489	3107	3233
490	3113	3228
491	3119	3220
492	3124	3213
493	3130	3206
494	3136	3199
495	3141	3192
496	3146	3184
497	3151	3176
498	3157	3170
499	3162	3162
500	3167	3155
501	3174	3148
502	3179	3141
503	3184	3134
504	3190	3127
505	3195	3119
506	3201	3113
507	3209	3108
508	3214	3101
509	3220	3094
510	3227	3088
511	3233	3081
512	3240	3076
513	3245	3069
514	3251	3062
515	3258	3056
516	3263	3048
517	3268	3041
518	3274	3034
519	3279	3027
520	3284	3019
521	3290	3013
522	3295	3005
523	3300	2998
524	3306	2991
525	3311	2984
526	3316	2977
527	3322	2970
528	3327	2962
529	3332	2955
530	3338	2948
531	3343	2941
532	3348	2934
533	3355	2928
534	3360	2920
535	3365	2913
536	3372	2907
537	3377	2899
538	3382	2892
539	3388	2886
540	3393	2878
541	3398	2871
542	3405	2865
543	3411	2859
544	3416	2852
545	3423	2846
546	3428	2839
547	3434	2832
548	3440	2826
549	3445	2819
550	3451	2812
551	3456	2805
552	3461	2798
553	3468	2792
554	3473	2784
555	3477	2777
556	3483	2770
557	3488	2763
558	3493	2756
559	3500	2750
560	3506	2743
561	3512	2737
562	3518	2731
563	3524	2724
564	3529	2717
565	3535	2710
566	3540	2703
567	3545	2696
568	3552	2690
569	3557	2683
570	3562	2676
571	3568	2670
572	3573	2663
573	3578	2655
574	3584	2649
575	3590	2642
576	3595	2636
577	3602	2630
578	3608	2623
579	3615	2618
580	3620	2611
581	3625	2603
582	3632	2598
583	3637	2591
584	3642	2584
585	3649	2578
586	3654	2571
587	3660	2564
588	3666	2558
589	3672	2551
590	3677	2545
591	3683	2538
592	3688	2531
593	3693	2524
594	3699	2517
595	3704	2510
596	3709	2503
597	3715	2497
598	3720	2490
599	3726	2484
600	3732	2478
601	3737	2470
602	3742	2463
603	3748	2457
604	3753	2450
605	3758	2443
606	3764	2437
607	3768	2429
608	3773	2422
609	3780	2416
610	3785	2409
611	3790	2402
612	3797	2397
613	3803	2390
614	3809	2384
615	3817	2379
616	3829	2376
617	3838	2372
618	3846	2367
619	3851	2360
620	3857	2354
621	3864	2348
622	3869	2341
623	3877	2336
624	3883	2330
625	3888	2323
626	3895	2317
627	3901	2311
628	3907	2304
629	3913	2298
630	3919	2292
631	3927	2286
632	3932	2280
633	3938	2273
634	3945	2267
635	3951	2261
636	3958	2256
637	3964	2249
638	3970	2243
639	3976	2236
640	3981	2230
641	3987	2223
642	3994	2217
643	4000	2211
644	4007	2205
645	4013	2199
646	4019	2192
647	4027	2187
648	4033	2181
649	4039	2175
650	4047	2169
651	4057	2165
652	4062	2158
653	4068	2152
654	4075	2146
655	4080	2139
656	4086	2133
657	4092	2127
658	4098	2120
659	4105	2115
660	4112	2109
661	4118	2102
662	4124	2096
663	4135	2092
664	4141	2086
665	4147	2080
666	4155	2074
667	4160	2067
668	4166	2061
669	4172	2055
670	4178	2048
671	4184	2042
672	4191	2036
673	4205	2034
674	4212	2028
675	4222	2023
676	4231	2019
677	4240	2013
678	4247	2007
679	4254	2001
680	4260	1995
681	4266	1989
682	4272	1983
683	4278	1976
684	4285	1970
685	4291	1964
686	4297	1957
687	4304	1952
688	4310	1945
689	4317	1939
690	4323	1933
691	4329	1926
692	4338	1922
693	4343	1915
694	4352	1910
695	4362	1905
696	4373	1901
697	4383	1896
698	4389	1890
699	4396	1884
700	4405	1879
701	4411	1872
702	4420	1867
703	4427	1861
704	4434	1855
705	4439	1848
706	4449	1843
707	4454	1837
708	4460	1830
709	4467	1824
710	4472	1818
711	4481	1812
712	4487	1806
713	4493	1799
714	4499	1793
715	4504	1786
716	4510	1780
717	4517	1774
718	4523	1767
719	4529	1761
720	4536	1755
721	4542	1748
722	4548	1742
723	4555	1736
724	4562	1730
725	4567	1723
726	4573	1717
727	4580	1711
728	4587	1705
729	4593	1699
730	4601	1693
731	4607	1686
732	4615	1681
733	4621	1674
734	4628	1668
735	4634	1662
736	4639	1655
737	4646	1649
738	4651	1642
739	4658	1636
740	4664	1630
741	4670	1624
742	4677	1617
743	4682	1611
744	4688	1604
745	4695	1598
746	4700	1592
747	4705	1585
748	4711	1579
749	4717	1572
750	4722	1565
751	4730	1560
752	4736	1553
753	4744	1548
754	4750	1541
755	4756	1535
756	4762	1528
757	4767	1521
758	4773	1515
759	4779	1509
760	4784	1502
761	4791	1496
762	4801	1491
763	4809	1485
764	4815	1479
765	4821	1472
766	4828	1466
767	4833	1460
768	4840	1454
769	4847	1447
770	4853	1441
771	4860	1435
772	4866	1429
773	4873	1423
774	4879	1416
775	4885	1410
776	4891	1403
777	4896	1397
778	4902	1390
779	4907	1384
780	4913	1377
781	4919	1371
782	4925	1365
783	4931	1358
784	4936	1352
785	4941	1345
786	4948	1339
787	4954	1333
788	4961	1326
789	4968	1320
790	4975	1314
791	4982	1308
792	4990	1302
793	5002	1298
794	5013	1292
795	5020	1286
796	5026	1280
797	5034	1274
798	5040	1267
799	5047	1261
800	5053	1255
801	5059	1249
802	5067	1243
803	5073	1236
804	5082	1231
805	5091	1225
806	5099	1219
807	5104	1212
808	5112	1207
809	5118	1200
810	5123	1194
811	5132	1188
812	5138	1182
813	5147	1176
814	5153	1169
815	5161	1163
816	5167	1157
817	5172	1150
818	5181	1145
819	5187	1138
820	5195	1132
821	5202	1126
822	5212	1120
823	5218	1114
824	5223	1108
825	5232	1102
826	5237	1095
827	5246	1089
828	5252	1083
829	5259	1077
830	5266	1071
831	5272	1064
832	5280	1058
833	5286	1052
834	5295	1046
835	5301	1039
836	5308	1033
837	5317	1027
838	5326	1022
839	5333	1015
840	5340	1009
841	5348	1003
842	5355	997
843	5363	991
844	5370	985
845	5380	979
846	5386	973
847	5395	967
848	5401	960
849	5411	954
850	5416	948
851	5425	942
852	5431	936
853	5439	929
854	5445	923
855	5451	917
856	5460	911
857	5467	904
858	5476	898
859	5482	892
860	5490	886
861	5496	879
862	5502	873
863	5510	867
864	5516	860
865	5525	855
866	5532	848
867	5540	842
868	5547	836
869	5554	830
870	5561	823
871	5569	817
872	5576	811
873	5582	804
874	5590	798
875	5597	792
876	5607	786
877	5613	779
878	5622	773
879	5628	767
880	5634	761
881	5642	754
882	5648	748
883	5659	742
884	5665	736
885	5674	730
886	5681	723
887	5690	717
888	5696	711
889	5706	705
890	5713	698
891	5722	692
892	5729	686
893	5738	680
894	5744	673
895	5752	667
896	5761	661
897	5770	655
898	5776	649
899	5787	643
900	5794	636
901	5804	630
902	5811	624
903	5825	618
904	5839	612
905	5850	607
906	5858	600
907	5865	594
908	5874	588
909	5882	581
910	5889	575
911	5900	569
912	5909	563
913	5920	557
914	5926	550
915	5936	544
916	5942	537
917	5948	531
918	5954	524
919	5959	518
920	5967	511
921	5973	505
922	5980	498
923	5988	492
924	5996	486
925	6001	479
926	6007	473
927	6013	466
928	6019	460
929	6025	453
930	6032	447
931	6037	440
932	6045	434
933	6051	427
934	6057	421
935	6064	414
936	6069	408
937	6076	401
938	6082	395
939	6088	388
940	6095	382
941	6100	375
942	6106	369
943	6113	362
944	6118	356
945	6124	349
946	6130	343
947	6135	336
948	6142	330
949	6148	323
950	6153	317
951	6159	310
952	6164	304
953	6169	297
954	6175	291
955	6180	284
956	6185	277
957	6193	271
958	6198	265
959	6206	258
960	6212	252
961	6219	245
962	6226	239
963	6232	232
964	6239	226
965	6246	219
966	6252	213
967	6261	206
968	6266	200
969	6275	194
970	6281	187
971	6290	181
972	6296	174
973	6302	168
974	6311	161
975	6316	155
976	6324	148
977	6330	142
978	6338	135
979	6344	129
980	6350	122
981	6358	116
982	6364	110
983	6371	103
984	6378	97
985	6384	90
986	6391	84
987	6397	77
988	6404	71
989	6409	64
990	6415	58
991	6422	51
992	6427	45
993	6432	38
994	6439	32
995	6444	25
996	6450	19
997	6456	12
998	6462	6
999	6469	0
